ActiveLearner,Age,AssignmentCompletion,Attendance,Discussions,EduTech,ExamScore,Extracurricular,FinalGrade,Gender,Internet,LearningStyle,Motivation,OnlineCourses,PassStatus,Resources,StressLevel,StudyHours,Cluster
No,23.0,56.0,75.0,<Na>,<Na>,87.0,No,A,Female,No,<Na>,Low,18.0,Pass,Medium,<Na>,15.0,1
Yes,23.0,56.0,75.0,<Na>,<Na>,87.0,Yes,A,Female,Yes,<Na>,Medium,18.0,Pass,Medium,<Na>,15.0,1
No,23.0,56.0,75.0,<Na>,<Na>,87.0,No,A,Female,Yes,<Na>,Low,18.0,Pass,High,<Na>,15.0,1
No,22.0,84.0,74.0,1,1,60.0,No,C,Female,Yes,3,High,13.0,Pass,Medium,<Na>,18.0,0
No,28.0,77.0,74.0,1,1,55.0,No,C,Female,Yes,1,High,16.0,Pass,Medium,2,18.0,0
No,27.0,53.0,74.0,<Na>,<Na>,82.0,No,B,Female,Yes,1,High,18.0,Pass,Medium,2,18.0,1
No,20.0,85.0,74.0,<Na>,1,53.0,No,D,Female,Yes,3,High,12.0,Fail,Medium,2,18.0,3
No,21.0,52.0,74.0,<Na>,1,48.0,No,D,Female,Yes,1,High,8.0,Fail,Medium,1,18.0,3
No,22.0,84.0,74.0,1,1,60.0,No,C,Female,Yes,3,High,13.0,Pass,Low,<Na>,18.0,0
No,28.0,77.0,74.0,1,1,55.0,No,C,Female,Yes,1,High,16.0,Pass,Low,2,18.0,0
No,27.0,53.0,74.0,<Na>,<Na>,82.0,No,B,Female,Yes,1,High,18.0,Pass,Low,2,18.0,1
No,20.0,85.0,74.0,<Na>,1,53.0,No,D,Female,Yes,3,High,12.0,Fail,Low,2,18.0,3
No,21.0,52.0,74.0,<Na>,1,48.0,No,D,Female,Yes,1,High,8.0,Fail,Low,1,18.0,3
Yes,22.0,84.0,74.0,1,1,60.0,Yes,C,Female,Yes,3,Medium,13.0,Pass,High,<Na>,18.0,0
Yes,28.0,77.0,74.0,1,1,55.0,Yes,C,Female,Yes,1,Medium,16.0,Pass,High,2,18.0,0
Yes,27.0,53.0,74.0,<Na>,<Na>,82.0,Yes,B,Female,Yes,1,Medium,18.0,Pass,High,2,18.0,1
Yes,20.0,85.0,74.0,<Na>,1,53.0,Yes,D,Female,Yes,3,Medium,12.0,Fail,High,2,18.0,3
Yes,21.0,52.0,74.0,<Na>,1,48.0,Yes,D,Female,Yes,1,Medium,8.0,Fail,High,1,18.0,3
No,22.0,84.0,74.0,1,1,60.0,No,C,Female,Yes,3,Medium,13.0,Pass,Medium,<Na>,18.0,0
No,28.0,77.0,74.0,1,1,55.0,No,C,Female,Yes,1,Medium,16.0,Pass,Medium,2,18.0,0
No,27.0,53.0,74.0,<Na>,<Na>,82.0,No,B,Female,Yes,1,Medium,18.0,Pass,Medium,2,18.0,1
No,20.0,85.0,74.0,<Na>,1,53.0,No,D,Female,Yes,3,Medium,12.0,Fail,Medium,2,18.0,3
No,21.0,52.0,74.0,<Na>,1,48.0,No,D,Female,Yes,1,Medium,8.0,Fail,Medium,1,18.0,3
Yes,27.0,55.0,85.0,1,1,85.0,Yes,A,Female,Yes,3,Low,14.0,Pass,Medium,1,10.0,1
Yes,27.0,55.0,85.0,1,1,85.0,Yes,A,Female,Yes,3,Medium,14.0,Pass,Medium,1,10.0,1
Yes,27.0,55.0,85.0,1,1,85.0,Yes,A,Female,Yes,3,Medium,14.0,Pass,High,1,10.0,1
No,28.0,70.0,62.0,1,1,53.0,No,D,Male,Yes,2,Medium,6.0,Fail,High,<Na>,26.0,0
No,27.0,82.0,62.0,1,<Na>,97.0,No,A,Male,Yes,2,Medium,14.0,Pass,High,<Na>,26.0,1
Yes,28.0,70.0,62.0,1,1,53.0,Yes,D,Male,Yes,2,Medium,6.0,Fail,Medium,<Na>,26.0,0
Yes,27.0,82.0,62.0,1,<Na>,97.0,Yes,A,Male,Yes,2,Medium,14.0,Pass,Medium,<Na>,26.0,1
No,28.0,70.0,62.0,1,1,53.0,No,D,Male,Yes,2,Medium,6.0,Fail,Medium,<Na>,26.0,0
No,27.0,82.0,62.0,1,<Na>,97.0,No,A,Male,Yes,2,Medium,14.0,Pass,Medium,<Na>,26.0,1
Yes,20.0,58.0,62.0,1,<Na>,73.0,Yes,B,Female,No,3,High,3.0,Pass,High,2,11.0,3
Yes,19.0,80.0,62.0,<Na>,1,53.0,Yes,D,Female,No,3,High,15.0,Fail,High,1,11.0,3
Yes,26.0,50.0,62.0,<Na>,<Na>,46.0,Yes,D,Female,No,2,High,16.0,Fail,High,<Na>,11.0,0
Yes,28.0,86.0,62.0,<Na>,1,45.0,Yes,D,Female,No,<Na>,High,0.0,Fail,High,1,11.0,0
Yes,20.0,88.0,75.0,1,1,68.0,Yes,C,Female,Yes,1,Low,13.0,Pass,Low,1,14.0,2
No,20.0,88.0,75.0,1,1,68.0,No,C,Female,Yes,1,Medium,13.0,Pass,Low,1,14.0,2
Yes,29.0,92.0,73.0,1,1,41.0,Yes,D,Male,Yes,3,High,9.0,Fail,Medium,1,26.0,0
Yes,23.0,89.0,73.0,<Na>,1,86.0,Yes,A,Male,Yes,1,High,17.0,Pass,Medium,2,26.0,2
No,29.0,92.0,73.0,1,1,41.0,No,D,Male,Yes,3,Low,9.0,Fail,High,1,26.0,0
No,23.0,89.0,73.0,<Na>,1,86.0,No,A,Male,Yes,1,Low,17.0,Pass,High,2,26.0,2
No,29.0,92.0,73.0,1,1,41.0,No,D,Male,Yes,3,Medium,9.0,Fail,Medium,1,26.0,0
No,23.0,89.0,73.0,<Na>,1,86.0,No,A,Male,Yes,1,Medium,17.0,Pass,Medium,2,26.0,2
Yes,29.0,92.0,73.0,1,1,41.0,Yes,D,Male,Yes,3,Low,9.0,Fail,High,1,26.0,0
Yes,23.0,89.0,73.0,<Na>,1,86.0,Yes,A,Male,Yes,1,Low,17.0,Pass,High,2,26.0,2
No,29.0,92.0,73.0,1,1,41.0,No,D,Male,Yes,3,Medium,9.0,Fail,High,1,26.0,0
No,23.0,89.0,73.0,<Na>,1,86.0,No,A,Male,Yes,1,Medium,17.0,Pass,High,2,26.0,2
No,26.0,64.0,90.0,1,<Na>,74.0,No,B,Male,Yes,1,Low,16.0,Pass,Medium,2,19.0,1
Yes,26.0,64.0,90.0,1,<Na>,74.0,Yes,B,Male,Yes,1,Medium,16.0,Pass,Medium,2,19.0,1
No,26.0,64.0,90.0,1,<Na>,74.0,No,B,Male,Yes,1,Medium,16.0,Pass,Medium,2,19.0,1
No,26.0,64.0,90.0,1,<Na>,74.0,No,B,Male,Yes,1,Medium,16.0,Pass,High,2,19.0,1
Yes,26.0,64.0,90.0,1,<Na>,74.0,Yes,B,Male,Yes,1,High,16.0,Pass,Low,2,19.0,1
No,26.0,64.0,90.0,1,<Na>,74.0,No,B,Male,Yes,1,Low,16.0,Pass,High,2,19.0,1
No,27.0,84.0,62.0,1,<Na>,83.0,No,B,Female,Yes,1,High,11.0,Pass,High,<Na>,23.0,1
No,26.0,72.0,62.0,1,<Na>,45.0,No,D,Female,Yes,3,High,20.0,Fail,High,2,23.0,0
Yes,27.0,84.0,62.0,1,<Na>,83.0,Yes,B,Female,Yes,1,High,11.0,Pass,Low,<Na>,23.0,1
Yes,26.0,72.0,62.0,1,<Na>,45.0,Yes,D,Female,Yes,3,High,20.0,Fail,Low,2,23.0,0
No,27.0,84.0,62.0,1,<Na>,83.0,No,B,Female,Yes,1,Medium,11.0,Pass,Low,<Na>,23.0,1
No,26.0,72.0,62.0,1,<Na>,45.0,No,D,Female,Yes,3,Medium,20.0,Fail,Low,2,23.0,0
Yes,27.0,84.0,62.0,1,<Na>,83.0,Yes,B,Female,Yes,1,Medium,11.0,Pass,Low,<Na>,23.0,1
Yes,26.0,72.0,62.0,1,<Na>,45.0,Yes,D,Female,Yes,3,Medium,20.0,Fail,Low,2,23.0,0
Yes,27.0,84.0,62.0,1,<Na>,83.0,Yes,B,Female,Yes,1,Low,11.0,Pass,High,<Na>,23.0,1
Yes,26.0,72.0,62.0,1,<Na>,45.0,Yes,D,Female,Yes,3,Low,20.0,Fail,High,2,23.0,0
No,20.0,97.0,69.0,1,1,63.0,No,C,Male,Yes,3,High,5.0,Pass,High,<Na>,14.0,2
No,18.0,61.0,69.0,<Na>,1,49.0,No,D,Male,Yes,2,High,20.0,Fail,High,1,14.0,3
Yes,20.0,97.0,69.0,1,1,63.0,Yes,C,Male,No,3,Low,5.0,Pass,High,<Na>,14.0,2
Yes,18.0,61.0,69.0,<Na>,1,49.0,Yes,D,Male,No,2,Low,20.0,Fail,High,1,14.0,3
No,20.0,97.0,69.0,1,1,63.0,No,C,Male,Yes,3,Medium,5.0,Pass,Medium,<Na>,14.0,2
No,18.0,61.0,69.0,<Na>,1,49.0,No,D,Male,Yes,2,Medium,20.0,Fail,Medium,1,14.0,3
Yes,27.0,66.0,65.0,1,1,69.0,Yes,C,Male,Yes,1,High,3.0,Pass,Medium,2,22.0,1
Yes,28.0,86.0,65.0,1,1,48.0,Yes,D,Male,Yes,<Na>,High,15.0,Fail,Medium,1,22.0,0
Yes,27.0,66.0,65.0,1,1,69.0,Yes,C,Male,Yes,1,Medium,3.0,Pass,Low,2,22.0,1
Yes,28.0,86.0,65.0,1,1,48.0,Yes,D,Male,Yes,<Na>,Medium,15.0,Fail,Low,1,22.0,0
Yes,27.0,66.0,65.0,1,1,69.0,Yes,C,Male,No,1,Low,3.0,Pass,Low,2,22.0,1
Yes,28.0,86.0,65.0,1,1,48.0,Yes,D,Male,No,<Na>,Low,15.0,Fail,Low,1,22.0,0
No,27.0,66.0,65.0,1,1,69.0,No,C,Male,No,1,Medium,3.0,Pass,Medium,2,22.0,1
No,28.0,86.0,65.0,1,1,48.0,No,D,Male,No,<Na>,Medium,15.0,Fail,Medium,1,22.0,0
No,27.0,66.0,65.0,1,1,69.0,No,C,Male,Yes,1,Medium,3.0,Pass,Medium,2,22.0,1
No,28.0,86.0,65.0,1,1,48.0,No,D,Male,Yes,<Na>,Medium,15.0,Fail,Medium,1,22.0,0
Yes,28.0,83.0,98.0,1,1,89.0,Yes,A,Male,Yes,<Na>,Medium,1.0,Pass,Medium,<Na>,10.0,1
Yes,25.0,50.0,98.0,<Na>,1,100.0,Yes,A,Male,Yes,2,Medium,1.0,Pass,Medium,2,10.0,1
Yes,27.0,71.0,98.0,<Na>,1,87.0,Yes,A,Male,Yes,3,Medium,5.0,Pass,Medium,2,10.0,1
Yes,20.0,81.0,98.0,1,<Na>,42.0,Yes,D,Male,Yes,<Na>,Medium,8.0,Fail,Medium,2,10.0,3
Yes,24.0,95.0,98.0,<Na>,1,61.0,Yes,C,Male,Yes,<Na>,Medium,14.0,Pass,Medium,<Na>,10.0,0
No,28.0,83.0,98.0,1,1,89.0,No,A,Male,Yes,<Na>,Low,1.0,Pass,High,<Na>,10.0,1
No,25.0,50.0,98.0,<Na>,1,100.0,No,A,Male,Yes,2,Low,1.0,Pass,High,2,10.0,1
No,27.0,71.0,98.0,<Na>,1,87.0,No,A,Male,Yes,3,Low,5.0,Pass,High,2,10.0,1
No,20.0,81.0,98.0,1,<Na>,42.0,No,D,Male,Yes,<Na>,Low,8.0,Fail,High,2,10.0,3
No,24.0,95.0,98.0,<Na>,1,61.0,No,C,Male,Yes,<Na>,Low,14.0,Pass,High,<Na>,10.0,0
No,21.0,72.0,67.0,1,1,43.0,No,D,Female,Yes,2,High,2.0,Fail,High,<Na>,20.0,3
No,23.0,81.0,67.0,1,1,63.0,No,C,Female,Yes,1,High,15.0,Pass,High,2,20.0,0
No,28.0,91.0,67.0,1,<Na>,69.0,No,C,Female,Yes,2,High,7.0,Pass,High,2,20.0,0
No,27.0,86.0,67.0,<Na>,1,57.0,No,C,Female,Yes,3,High,19.0,Pass,High,2,20.0,0
No,21.0,72.0,67.0,1,1,43.0,No,D,Female,Yes,2,Low,2.0,Fail,High,<Na>,20.0,3
No,23.0,81.0,67.0,1,1,63.0,No,C,Female,Yes,1,Low,15.0,Pass,High,2,20.0,0
No,28.0,91.0,67.0,1,<Na>,69.0,No,C,Female,Yes,2,Low,7.0,Pass,High,2,20.0,0
No,27.0,86.0,67.0,<Na>,1,57.0,No,C,Female,Yes,3,Low,19.0,Pass,High,2,20.0,0
No,21.0,72.0,67.0,1,1,43.0,No,D,Female,Yes,2,High,2.0,Fail,Medium,<Na>,20.0,3
No,23.0,81.0,67.0,1,1,63.0,No,C,Female,Yes,1,High,15.0,Pass,Medium,2,20.0,0
No,28.0,91.0,67.0,1,<Na>,69.0,No,C,Female,Yes,2,High,7.0,Pass,Medium,2,20.0,0
No,27.0,86.0,67.0,<Na>,1,57.0,No,C,Female,Yes,3,High,19.0,Pass,Medium,2,20.0,0
Yes,24.0,54.0,76.0,1,1,66.0,Yes,C,Female,Yes,1,High,9.0,Pass,Medium,1,23.0,1
Yes,21.0,61.0,76.0,1,1,71.0,Yes,B,Female,Yes,3,High,3.0,Pass,Medium,<Na>,23.0,3
No,24.0,54.0,76.0,1,1,66.0,No,C,Female,Yes,1,High,9.0,Pass,Medium,1,23.0,1
No,21.0,61.0,76.0,1,1,71.0,No,B,Female,Yes,3,High,3.0,Pass,Medium,<Na>,23.0,3
Yes,24.0,54.0,76.0,1,1,66.0,Yes,C,Female,Yes,1,Medium,9.0,Pass,Low,1,23.0,1
Yes,21.0,61.0,76.0,1,1,71.0,Yes,B,Female,Yes,3,Medium,3.0,Pass,Low,<Na>,23.0,3
Yes,24.0,54.0,76.0,1,1,66.0,Yes,C,Female,Yes,1,Low,9.0,Pass,Medium,1,23.0,1
Yes,21.0,61.0,76.0,1,1,71.0,Yes,B,Female,Yes,3,Low,3.0,Pass,Medium,<Na>,23.0,3
Yes,24.0,54.0,76.0,1,1,66.0,Yes,C,Female,Yes,1,Low,9.0,Pass,High,1,23.0,1
Yes,21.0,61.0,76.0,1,1,71.0,Yes,B,Female,Yes,3,Low,3.0,Pass,High,<Na>,23.0,3
Yes,24.0,54.0,76.0,1,1,66.0,Yes,C,Female,Yes,1,Medium,9.0,Pass,High,1,23.0,1
Yes,21.0,61.0,76.0,1,1,71.0,Yes,B,Female,Yes,3,Medium,3.0,Pass,High,<Na>,23.0,3
No,24.0,54.0,76.0,1,1,66.0,No,C,Female,Yes,1,Medium,9.0,Pass,Medium,1,23.0,1
No,21.0,61.0,76.0,1,1,71.0,No,B,Female,Yes,3,Medium,3.0,Pass,Medium,<Na>,23.0,3
No,21.0,66.0,92.0,<Na>,<Na>,69.0,No,C,Female,Yes,2,Medium,11.0,Pass,Medium,1,28.0,3
No,23.0,61.0,92.0,<Na>,1,59.0,No,C,Female,Yes,<Na>,Medium,6.0,Pass,Medium,<Na>,28.0,3
Yes,21.0,66.0,92.0,<Na>,<Na>,69.0,Yes,C,Female,Yes,2,Low,11.0,Pass,Medium,1,28.0,3
Yes,23.0,61.0,92.0,<Na>,1,59.0,Yes,C,Female,Yes,<Na>,Low,6.0,Pass,Medium,<Na>,28.0,3
Yes,26.0,99.0,90.0,1,<Na>,41.0,Yes,D,Female,Yes,2,High,2.0,Fail,Medium,1,21.0,0
Yes,26.0,99.0,90.0,1,<Na>,41.0,Yes,D,Female,Yes,2,Low,2.0,Fail,Low,1,21.0,0
No,26.0,99.0,90.0,1,<Na>,41.0,No,D,Female,Yes,2,Medium,2.0,Fail,Medium,1,21.0,0
No,26.0,99.0,90.0,1,<Na>,41.0,No,D,Female,Yes,2,Medium,2.0,Fail,Low,1,21.0,0
Yes,26.0,99.0,90.0,1,<Na>,41.0,Yes,D,Female,Yes,2,High,2.0,Fail,High,1,21.0,0
Yes,22.0,72.0,75.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,2,Medium,13.0,Pass,Low,2,20.0,3
Yes,26.0,90.0,75.0,<Na>,1,96.0,Yes,A,Male,Yes,<Na>,Medium,20.0,Pass,Low,1,20.0,2
No,22.0,72.0,75.0,<Na>,<Na>,55.0,No,C,Male,Yes,2,High,13.0,Pass,Medium,2,20.0,3
No,26.0,90.0,75.0,<Na>,1,96.0,No,A,Male,Yes,<Na>,High,20.0,Pass,Medium,1,20.0,2
Yes,22.0,72.0,75.0,<Na>,<Na>,55.0,Yes,C,Male,Yes,2,High,13.0,Pass,High,2,20.0,3
Yes,26.0,90.0,75.0,<Na>,1,96.0,Yes,A,Male,Yes,<Na>,High,20.0,Pass,High,1,20.0,2
No,22.0,72.0,75.0,<Na>,<Na>,55.0,No,C,Male,Yes,2,Medium,13.0,Pass,High,2,20.0,3
No,26.0,90.0,75.0,<Na>,1,96.0,No,A,Male,Yes,<Na>,Medium,20.0,Pass,High,1,20.0,2
No,22.0,72.0,75.0,<Na>,<Na>,55.0,No,C,Male,Yes,2,Medium,13.0,Pass,Medium,2,20.0,3
No,26.0,90.0,75.0,<Na>,1,96.0,No,A,Male,Yes,<Na>,Medium,20.0,Pass,Medium,1,20.0,2
Yes,23.0,89.0,80.0,1,1,98.0,Yes,A,Female,Yes,2,Low,13.0,Pass,High,2,16.0,2
Yes,19.0,94.0,80.0,1,1,89.0,Yes,A,Female,Yes,1,Low,1.0,Pass,High,2,16.0,2
Yes,21.0,59.0,80.0,1,<Na>,52.0,Yes,D,Female,Yes,<Na>,Low,15.0,Fail,High,2,16.0,3
No,23.0,89.0,80.0,1,1,98.0,No,A,Female,Yes,2,Low,13.0,Pass,Low,2,16.0,2
No,19.0,94.0,80.0,1,1,89.0,No,A,Female,Yes,1,Low,1.0,Pass,Low,2,16.0,2
No,21.0,59.0,80.0,1,<Na>,52.0,No,D,Female,Yes,<Na>,Low,15.0,Fail,Low,2,16.0,3
No,19.0,95.0,70.0,1,<Na>,40.0,No,D,Male,Yes,2,Medium,0.0,Fail,High,2,12.0,0
No,22.0,56.0,70.0,1,1,47.0,No,D,Male,Yes,2,Medium,7.0,Fail,High,2,12.0,3
Yes,19.0,95.0,70.0,1,<Na>,40.0,Yes,D,Male,Yes,2,Medium,0.0,Fail,High,2,12.0,0
Yes,22.0,56.0,70.0,1,1,47.0,Yes,D,Male,Yes,2,Medium,7.0,Fail,High,2,12.0,3
Yes,19.0,95.0,70.0,1,<Na>,40.0,Yes,D,Male,Yes,2,Low,0.0,Fail,Medium,2,12.0,0
Yes,22.0,56.0,70.0,1,1,47.0,Yes,D,Male,Yes,2,Low,7.0,Fail,Medium,2,12.0,3
No,19.0,95.0,70.0,1,<Na>,40.0,No,D,Male,Yes,2,High,0.0,Fail,High,2,12.0,0
No,22.0,56.0,70.0,1,1,47.0,No,D,Male,Yes,2,High,7.0,Fail,High,2,12.0,3
Yes,28.0,50.0,76.0,<Na>,1,94.0,Yes,A,Female,Yes,1,Low,11.0,Pass,Medium,2,30.0,1
Yes,20.0,68.0,76.0,<Na>,1,95.0,Yes,A,Female,Yes,2,Low,5.0,Pass,Medium,2,30.0,2
Yes,22.0,61.0,76.0,1,1,40.0,Yes,D,Female,Yes,1,Low,8.0,Fail,Medium,1,30.0,3
Yes,24.0,51.0,76.0,1,<Na>,90.0,Yes,A,Female,Yes,1,Low,5.0,Pass,Medium,2,30.0,1
Yes,25.0,51.0,76.0,<Na>,1,59.0,Yes,C,Female,Yes,1,Low,3.0,Pass,Medium,2,30.0,3
Yes,25.0,91.0,76.0,1,<Na>,98.0,Yes,A,Female,Yes,2,Low,14.0,Pass,Medium,<Na>,30.0,2
No,21.0,99.0,61.0,1,1,72.0,No,B,Male,No,3,Low,20.0,Pass,Low,2,13.0,2
No,21.0,55.0,61.0,<Na>,<Na>,69.0,No,C,Male,No,2,Low,19.0,Pass,Low,2,13.0,3
Yes,21.0,99.0,61.0,1,1,72.0,Yes,B,Male,No,3,High,20.0,Pass,Medium,2,13.0,2
Yes,21.0,55.0,61.0,<Na>,<Na>,69.0,Yes,C,Male,No,2,High,19.0,Pass,Medium,2,13.0,3
Yes,21.0,99.0,61.0,1,1,72.0,Yes,B,Male,Yes,3,Medium,20.0,Pass,Low,2,13.0,2
Yes,21.0,55.0,61.0,<Na>,<Na>,69.0,Yes,C,Male,Yes,2,Medium,19.0,Pass,Low,2,13.0,3
No,21.0,79.0,62.0,1,<Na>,77.0,No,B,Female,Yes,<Na>,Low,19.0,Pass,Medium,2,25.0,2
No,19.0,56.0,62.0,<Na>,1,74.0,No,B,Female,Yes,2,Low,2.0,Pass,Medium,1,25.0,3
No,21.0,69.0,62.0,1,1,78.0,No,B,Female,Yes,3,Low,4.0,Pass,Medium,2,25.0,3
Yes,21.0,79.0,62.0,1,<Na>,77.0,Yes,B,Female,Yes,<Na>,Medium,19.0,Pass,Low,2,25.0,2
Yes,19.0,56.0,62.0,<Na>,1,74.0,Yes,B,Female,Yes,2,Medium,2.0,Pass,Low,1,25.0,3
Yes,21.0,69.0,62.0,1,1,78.0,Yes,B,Female,Yes,3,Medium,4.0,Pass,Low,2,25.0,3
No,21.0,79.0,62.0,1,<Na>,77.0,No,B,Female,Yes,<Na>,High,19.0,Pass,Low,2,25.0,2
No,19.0,56.0,62.0,<Na>,1,74.0,No,B,Female,Yes,2,High,2.0,Pass,Low,1,25.0,3
No,21.0,69.0,62.0,1,1,78.0,No,B,Female,Yes,3,High,4.0,Pass,Low,2,25.0,3
Yes,21.0,59.0,86.0,<Na>,1,64.0,Yes,C,Male,Yes,<Na>,Low,3.0,Pass,Low,1,18.0,3
Yes,21.0,62.0,86.0,<Na>,1,84.0,Yes,B,Male,Yes,2,Low,9.0,Pass,Low,2,18.0,1
No,21.0,59.0,86.0,<Na>,1,64.0,No,C,Male,Yes,<Na>,Medium,3.0,Pass,Medium,1,18.0,3
No,21.0,62.0,86.0,<Na>,1,84.0,No,B,Male,Yes,2,Medium,9.0,Pass,Medium,2,18.0,1
Yes,21.0,59.0,86.0,<Na>,1,64.0,Yes,C,Male,Yes,<Na>,Medium,3.0,Pass,Medium,1,18.0,3
Yes,21.0,62.0,86.0,<Na>,1,84.0,Yes,B,Male,Yes,2,Medium,9.0,Pass,Medium,2,18.0,1
No,21.0,59.0,86.0,<Na>,1,64.0,No,C,Male,Yes,<Na>,High,3.0,Pass,Medium,1,18.0,3
No,21.0,62.0,86.0,<Na>,1,84.0,No,B,Male,Yes,2,High,9.0,Pass,Medium,2,18.0,1
No,21.0,59.0,86.0,<Na>,1,64.0,No,C,Male,Yes,<Na>,Low,3.0,Pass,Medium,1,18.0,3
No,21.0,62.0,86.0,<Na>,1,84.0,No,B,Male,Yes,2,Low,9.0,Pass,Medium,2,18.0,1
Yes,18.0,63.0,91.0,<Na>,1,62.0,Yes,C,Male,Yes,2,Medium,12.0,Pass,High,2,27.0,3
Yes,22.0,98.0,91.0,<Na>,1,97.0,Yes,A,Male,Yes,3,Medium,11.0,Pass,High,<Na>,27.0,2
Yes,18.0,63.0,91.0,<Na>,1,62.0,Yes,C,Male,Yes,2,Low,12.0,Pass,High,2,27.0,3
Yes,22.0,98.0,91.0,<Na>,1,97.0,Yes,A,Male,Yes,3,Low,11.0,Pass,High,<Na>,27.0,2
No,18.0,63.0,91.0,<Na>,1,62.0,No,C,Male,Yes,2,Medium,12.0,Pass,Low,2,27.0,3
No,22.0,98.0,91.0,<Na>,1,97.0,No,A,Male,Yes,3,Medium,11.0,Pass,Low,<Na>,27.0,2
Yes,18.0,63.0,91.0,<Na>,1,62.0,Yes,C,Male,Yes,2,Low,12.0,Pass,Medium,2,27.0,3
Yes,22.0,98.0,91.0,<Na>,1,97.0,Yes,A,Male,Yes,3,Low,11.0,Pass,Medium,<Na>,27.0,2
No,18.0,63.0,91.0,<Na>,1,62.0,No,C,Male,Yes,2,Low,12.0,Pass,Medium,2,27.0,3
No,22.0,98.0,91.0,<Na>,1,97.0,No,A,Male,Yes,3,Low,11.0,Pass,Medium,<Na>,27.0,2
No,26.0,100.0,80.0,<Na>,1,92.0,No,A,Male,Yes,1,Low,0.0,Pass,Medium,<Na>,22.0,2
No,22.0,86.0,80.0,1,<Na>,74.0,No,B,Male,Yes,3,Low,0.0,Pass,Medium,2,22.0,2
Yes,26.0,100.0,80.0,<Na>,1,92.0,Yes,A,Male,Yes,1,Medium,0.0,Pass,High,<Na>,22.0,2
Yes,22.0,86.0,80.0,1,<Na>,74.0,Yes,B,Male,Yes,3,Medium,0.0,Pass,High,2,22.0,2
No,26.0,100.0,80.0,<Na>,1,92.0,No,A,Male,Yes,1,Medium,0.0,Pass,High,<Na>,22.0,2
No,22.0,86.0,80.0,1,<Na>,74.0,No,B,Male,Yes,3,Medium,0.0,Pass,High,2,22.0,2
No,26.0,100.0,80.0,<Na>,1,92.0,No,A,Male,Yes,1,Low,0.0,Pass,Low,<Na>,22.0,2
No,22.0,86.0,80.0,1,<Na>,74.0,No,B,Male,Yes,3,Low,0.0,Pass,Low,2,22.0,2
Yes,26.0,100.0,80.0,<Na>,1,92.0,Yes,A,Male,Yes,1,High,0.0,Pass,Medium,<Na>,22.0,2
Yes,22.0,86.0,80.0,1,<Na>,74.0,Yes,B,Male,Yes,3,High,0.0,Pass,Medium,2,22.0,2
Yes,25.0,69.0,68.0,1,<Na>,66.0,Yes,C,Female,Yes,2,Low,1.0,Pass,Medium,1,15.0,0
Yes,25.0,72.0,68.0,<Na>,1,84.0,Yes,B,Female,Yes,2,Low,1.0,Pass,Medium,1,15.0,1
Yes,21.0,97.0,68.0,1,<Na>,89.0,Yes,A,Female,Yes,1,Low,4.0,Pass,Medium,2,15.0,2
Yes,23.0,98.0,68.0,1,1,92.0,Yes,A,Female,Yes,1,Low,20.0,Pass,Medium,2,15.0,2
Yes,24.0,71.0,68.0,1,1,89.0,Yes,A,Female,Yes,2,Low,20.0,Pass,Medium,2,15.0,1
Yes,25.0,69.0,68.0,1,<Na>,66.0,Yes,C,Female,Yes,2,Medium,1.0,Pass,Medium,1,15.0,0
Yes,25.0,72.0,68.0,<Na>,1,84.0,Yes,B,Female,Yes,2,Medium,1.0,Pass,Medium,1,15.0,1
Yes,21.0,97.0,68.0,1,<Na>,89.0,Yes,A,Female,Yes,1,Medium,4.0,Pass,Medium,2,15.0,2
Yes,23.0,98.0,68.0,1,1,92.0,Yes,A,Female,Yes,1,Medium,20.0,Pass,Medium,2,15.0,2
Yes,24.0,71.0,68.0,1,1,89.0,Yes,A,Female,Yes,2,Medium,20.0,Pass,Medium,2,15.0,1
No,25.0,69.0,68.0,1,<Na>,66.0,No,C,Female,Yes,2,Low,1.0,Pass,Medium,1,15.0,0
No,25.0,72.0,68.0,<Na>,1,84.0,No,B,Female,Yes,2,Low,1.0,Pass,Medium,1,15.0,1
No,21.0,97.0,68.0,1,<Na>,89.0,No,A,Female,Yes,1,Low,4.0,Pass,Medium,2,15.0,2
No,23.0,98.0,68.0,1,1,92.0,No,A,Female,Yes,1,Low,20.0,Pass,Medium,2,15.0,2
No,24.0,71.0,68.0,1,1,89.0,No,A,Female,Yes,2,Low,20.0,Pass,Medium,2,15.0,1
No,25.0,69.0,68.0,1,<Na>,66.0,No,C,Female,Yes,2,High,1.0,Pass,High,1,15.0,0
No,25.0,72.0,68.0,<Na>,1,84.0,No,B,Female,Yes,2,High,1.0,Pass,High,1,15.0,1
No,21.0,97.0,68.0,1,<Na>,89.0,No,A,Female,Yes,1,High,4.0,Pass,High,2,15.0,2
No,23.0,98.0,68.0,1,1,92.0,No,A,Female,Yes,1,High,20.0,Pass,High,2,15.0,2
No,24.0,71.0,68.0,1,1,89.0,No,A,Female,Yes,2,High,20.0,Pass,High,2,15.0,1
No,25.0,69.0,68.0,1,<Na>,66.0,No,C,Female,No,2,Medium,1.0,Pass,High,1,15.0,0
No,25.0,72.0,68.0,<Na>,1,84.0,No,B,Female,No,2,Medium,1.0,Pass,High,1,15.0,1
No,21.0,97.0,68.0,1,<Na>,89.0,No,A,Female,No,1,Medium,4.0,Pass,High,2,15.0,2
